id,標題,分層,證型_條目,題幹,題目顯示,答案,來源頁,確認狀態
WB096,濕溫,邪在營血,濕熱化燥大便下血,灼熱煩躁，便下鮮血，舌質紅絳，脈細數。,濕溫-灼熱煩躁，便下鮮血，舌質紅絳，脈細數。,犀角地黃湯＋連翹、紫草、茜草根、銀花露、地榆炭、側柏炭,PDF第16頁,
WB097,濕溫,邪在營血,下血過多氣虛欲脫（益氣固脫）,大便血出不止，顏面蒼白，汗出肢冷，舌淡無華，脈象微細。,濕溫-大便血出不止，顏面蒼白，汗出肢冷，舌淡無華，脈象微細。,獨參湯,PDF第16頁,
WB098,濕溫,邪在營血,下血過多氣虛欲脫（扶陽益陰養血止血）,大便血出不止，顏面蒼白，汗出肢冷，舌淡無華，脈象微細。,濕溫-大便血出不止，顏面蒼白，汗出肢冷，舌淡無華，脈象微細。,黃土湯,PDF第16頁,
WB099,濕溫,濕邪寒化,濕困脾陽,脘腹脹滿，大便不爽，或溏瀉，食少無味，舌苔白膩而滑，脈緩遲。,濕溫-脘腹脹滿，大便不爽，或溏瀉，食少無味，舌苔白膩而滑，脈緩遲。,四加減正氣散；五加減正氣散,PDF第16頁,
WB100,濕溫,濕邪寒化,濕勝陽微,身冷，汗泄，胸痞，口渴，苔白膩，舌淡滑，脈沈細。,濕溫-身冷，汗泄，胸痞，口渴，苔白膩，舌淡滑，脈沈細。,薛氏扶陽逐濕湯；真武湯,PDF第16頁,
WB101,濕溫,後期調治,餘邪未淨,身熱已退，脘中微悶，知饑不食，苔薄膩。,濕溫-身熱已退，脘中微悶，知饑不食，苔薄膩。,薛氏五葉蘆根湯,PDF第16頁,
WB102,濕溫,後期調治,邪退正虛,身熱已退，神疲倦語，不思食，小便短少，唇齒乾，舌紅苔少，脈細弱。,濕溫-身熱已退，神疲倦語，不思食，小便短少，唇齒乾，舌紅苔少，脈細弱。,薛氏加減生脈散,PDF第16頁,
WB103,伏暑,裏熱兼表證,氣分兼表（裡有暑濕）,外有表邪，裡有暑濕：頭痛惡寒，發熱無汗，心煩口渴，小溲短赤，脘痞苔膩。,伏暑-外有表邪，裡有暑濕：頭痛惡寒，發熱無汗，心煩口渴，小溲短赤，脘痞苔膩。,黃連香薷飲,PDF第16頁,
WB104,伏暑,裏熱兼表證,氣分兼表（衛分表熱較重）,衛分表熱較重，暑濕見證不甚：發熱重，微惡寒，舌白滑，口渴無汗。,伏暑-衛分表熱較重，暑濕見證不甚：發熱重，微惡寒，舌白滑，口渴無汗。,銀翹散＋杏仁、滑石、苡仁、通草,PDF第16頁,
WB105,伏暑,裏熱兼表證,營分兼表,發熱微惡寒，頭痛少汗，口乾不渴，心煩，舌赤無苔。,伏暑-發熱微惡寒，頭痛少汗，口乾不渴，心煩，舌赤無苔。,銀翹散＋生地、丹皮、赤芍、麥冬,PDF第17頁,
WB106,伏暑,裏熱兼表證,邪在少陽膽經,寒熱似瘧，口渴心煩，脘痞苔膩，身熱午後較重，入暮尤劇，天明得汗，諸候稍減，但胸腹灼熱，始終不除。,伏暑-寒熱似瘧，口渴心煩，脘痞苔膩，身熱午後較重，入暮尤劇，天明得汗，諸候稍減，但胸腹灼熱，始終不除。,蒿芩清膽湯,PDF第17頁,
WB107,伏暑,熱結胃腸,濕熱挾滯阻於胃腸,胸腹灼熱，嘔噁，便溏不爽，色黃如醬，苔黃垢膩。,伏暑-胸腹灼熱，嘔噁，便溏不爽，色黃如醬，苔黃垢膩。,枳實導滯湯,PDF第17頁,
WB108,伏暑,熱結胃腸,陽明腑實，小腸熱結,陽明腑實：身熱，煩渴，腹滿痛拒按，苔黃燥。小腸熱結：小便短赤而痛。,伏暑-陽明腑實：身熱，煩渴，腹滿痛拒按，苔黃燥。小腸熱結：小便短赤而痛。,導赤承氣湯,PDF第17頁,
WB109,伏暑,邪在營血,熱在心營下移小腸,發熱日輕夜重，心煩不寐、口乾、渴不欲飲，小溲短赤熱痛，舌絳等。,伏暑-發熱日輕夜重，心煩不寐、口乾、渴不欲飲，小溲短赤熱痛，舌絳等。,導赤清心湯,PDF第17頁,
WB110,伏暑,邪在營血,熱閉心包血絡瘀滯,發熱夜甚，神昏譫語。漱水不欲嚥，舌絳無苔，望之若乾，捫之尚潤，或紫晦而潤等。,伏暑-發熱夜甚，神昏譫語。漱水不欲嚥，舌絳無苔，望之若乾，捫之尚潤，或紫晦而潤等。,犀地清絡飲,PDF第17頁,
WB111,秋燥,邪在肺衛,溫燥,發熱，微惡風寒，頭痛，少汗，咳嗽少痰，咽乾鼻燥，口渴，苔白舌紅，右脈數大。,秋燥-發熱，微惡風寒，頭痛，少汗，咳嗽少痰，咽乾鼻燥，口渴，苔白舌紅，右脈數大。,桑杏湯,PDF第18頁,
WB112,秋燥,邪在肺衛,溫燥輕淺,感燥而咳嗽，其證情尚較輕淺。,秋燥-感燥而咳嗽，其證情尚較輕淺。,桑菊飲,PDF第18頁,
WB113,秋燥,邪在肺衛,涼燥,發熱，惡寒較重，頭痛，無汗，鼻塞，咽乾唇燥，口不作渴，咳嗽稀痰等。苔薄白而乾，舌質未有變化。,秋燥-發熱，惡寒較重，頭痛，無汗，鼻塞，咽乾唇燥，口不作渴，咳嗽稀痰等。苔薄白而乾，舌質未有變化。,杏蘇散,PDF第18頁,
WB114,秋燥,邪在氣分,燥干清竅,耳鳴、目赤、齦腫、咽痛等。,秋燥-耳鳴、目赤、齦腫、咽痛等。,翹荷湯,PDF第18頁,
WB115,秋燥,邪在氣分,燥熱傷肺,身熱，乾咳無痰，咳嗽而喘，咽喉乾燥，鼻燥，胸滿脅痛，心煩口渴，舌苔薄白而燥，舌質邊尖紅赤等。,秋燥-身熱，乾咳無痰，咳嗽而喘，咽喉乾燥，鼻燥，胸滿脅痛，心煩口渴，舌苔薄白而燥，舌質邊尖紅赤等。,清燥救肺湯,PDF第18頁,
WB116,秋燥,邪在氣分,肺胃陰傷,津傷為主，燥熱較輕：身熱不甚，乾咳不已，無痰，口舌乾燥而渴。,秋燥-津傷為主，燥熱較輕：身熱不甚，乾咳不已，無痰，口舌乾燥而渴。,沙參麥冬湯,PDF第18頁,
WB117,秋燥,邪在氣分,肺胃陰傷津傷,肺胃陰傷，津傷而邪熱較輕，可滋養肺胃津液。,秋燥-肺胃陰傷，津傷而邪熱較輕，可滋養肺胃津液。,五汁飲,PDF第18頁,
WB118,秋燥,邪在氣分,肺燥腸閉,咳嗽不爽而多痰，胸腹脹滿，便秘等。,秋燥-咳嗽不爽而多痰，胸腹脹滿，便秘等。,五仁橘皮湯,PDF第19頁,
WB119,秋燥,邪在氣分,腑實津傷,便秘，腹脹，神昏譫語，苔黑乾燥。,秋燥-便秘，腹脹，神昏譫語，苔黑乾燥。,調胃承氣湯＋鮮首烏、鮮生地、鮮石斛,PDF第19頁,
WB120,秋燥,邪在營血,肺燥腸熱絡傷咳血,初起喉癢乾咳，繼則因咳甚而痰黏帶血，胸脅牽痛，腹部灼熱，大便泄瀉。,秋燥-初起喉癢乾咳，繼則因咳甚而痰黏帶血，胸脅牽痛，腹部灼熱，大便泄瀉。,阿膠黃芩湯,PDF第19頁,
WB121,秋燥,邪在營血,氣血兩燔,身熱，口渴，煩燥不安，甚或吐血衄血，苔黃舌絳。,秋燥-身熱，口渴，煩燥不安，甚或吐血衄血，苔黃舌絳。,加減玉女煎,PDF第19頁,
WB122,溫毒－大頭瘟,衛氣同病,衛氣同病,風熱時毒自口鼻而入，衛受邪鬱，氣分熱毒蒸迫，肺胃受病；頭面紅腫疼痛，甚則潰爛。,溫毒－大頭瘟-風熱時毒自口鼻而入，衛受邪鬱，氣分熱毒蒸迫，肺胃受病；頭面紅腫疼痛，甚則潰爛。,普濟消毒飲,PDF第20頁,
WB123,溫毒－大頭瘟,衛氣同病,拔毒外出外治,頭面紅腫疼痛，需拔毒外出。,溫毒－大頭瘟-頭面紅腫疼痛，需拔毒外出。,水仙膏,PDF第20頁,
WB124,溫毒－大頭瘟,衛氣同病,腫未盡清外治,塗水仙膏後，腫未盡清。,溫毒－大頭瘟-塗水仙膏後，腫未盡清。,三黃二香散,PDF第20頁,
WB125,溫毒－爛喉痧,毒侵肺胃,表邪重,初起憎寒發熱，繼即壯熱煩渴，咽喉紅腫疼痛，甚或潰爛，肌膚疳痧隱約，苔白乾燥。舌紅如朱，脈弦數，或沉數，或沉弦不數；表邪重。,溫毒－爛喉痧-初起憎寒發熱，繼即壯熱煩渴，咽喉紅腫疼痛，甚或潰爛，肌膚疳痧隱約，苔白乾燥。舌紅如朱，脈弦數，或沉數，或沉弦不數；表邪重。,清咽湯,PDF第20頁,
WB126,溫毒－爛喉痧,毒侵肺胃,裏熱重,初起憎寒發熱，繼即壯熱煩渴，咽喉紅腫疼痛，甚或潰爛，肌膚疳痧隱約，苔白乾燥。舌紅如朱，脈弦數，或沉數，或沉弦不數；裏熱重。,溫毒－爛喉痧-初起憎寒發熱，繼即壯熱煩渴，咽喉紅腫疼痛，甚或潰爛，肌膚疳痧隱約，苔白乾燥。舌紅如朱，脈弦數，或沉數，或沉弦不數；裏熱重。,清咽梔子豉湯,PDF第20頁,
WB127,溫毒－爛喉痧,毒侵肺胃,吹喉解毒消腫,咽喉紅腫疼痛，甚或潰爛，需要吹喉解毒消腫。,溫毒－爛喉痧-咽喉紅腫疼痛，甚或潰爛，需要吹喉解毒消腫。,玉鑰匙,PDF第20頁,
WB128,溫毒－爛喉痧,毒壅上焦,毒壅上焦,壯熱，口渴，煩躁，咽喉紅腫腐爛，舌紅苔黃。,溫毒－爛喉痧-壯熱，口渴，煩躁，咽喉紅腫腐爛，舌紅苔黃。,余氏清心涼膈散,PDF第20頁,
WB129,溫毒－爛喉痧,毒壅上焦,祛腐生新,咽喉紅腫腐爛，需要清熱解毒、祛腐生新。,溫毒－爛喉痧-咽喉紅腫腐爛，需要清熱解毒、祛腐生新。,錫類散,PDF第20頁,
WB130,溫毒－爛喉痧,毒燔氣血,毒燔氣血,咽喉紅腫腐爛，阻塞不通，疳痧密布，紅暈如斑，壯熱，汗多，口渴，煩燥，舌絳乾燥等。,溫毒－爛喉痧-咽喉紅腫腐爛，阻塞不通，疳痧密布，紅暈如斑，壯熱，汗多，口渴，煩燥，舌絳乾燥等。,丁氏涼營清氣湯,PDF第21頁,
WB131,溫毒－爛喉痧,餘毒傷陰,餘毒傷陰,咽喉腐爛疼痛，壯熱已除，惟午後仍熱，脈象細數，舌紅而乾。,溫毒－爛喉痧-咽喉腐爛疼痛，壯熱已除，惟午後仍熱，脈象細數，舌紅而乾。,清咽養營湯,PDF第21頁,
WB132,溫疫－濕熱疫,邪遏膜原,邪遏膜原,初起憎寒壯熱，嗣後但熱不寒，晝夜發熱，日晡益甚，頭痛身痛。其脈不浮不沈而數，苔白如積粉，舌質紅絳。,溫疫－濕熱疫-初起憎寒壯熱，嗣後但熱不寒，晝夜發熱，日晡益甚，頭痛身痛。其脈不浮不沈而數，苔白如積粉，舌質紅絳。,達原飲,PDF第22頁,
WB133,溫疫－濕熱疫,邪遏膜原,邪遏膜原內傳陽明化燥,服達原飲後，舌變黃色，胸膈滿痛，人口渴煩躁；濕熱之邪內傳陽明，逐漸化燥阻塞胃腑，而膜原之邪仍錮結未解。,溫疫－濕熱疫-服達原飲後，舌變黃色，胸膈滿痛，人口渴煩躁；濕熱之邪內傳陽明，逐漸化燥阻塞胃腑，而膜原之邪仍錮結未解。,達原飲＋大黃,PDF第22頁,
WB134,溫疫－濕熱疫,邪傳陽明,陽明氣熱,壯熱口渴，大汗出，舌苔黃，脈洪數。,溫疫－濕熱疫-壯熱口渴，大汗出，舌苔黃，脈洪數。,白虎湯,PDF第22頁,
WB135,溫疫－濕熱疫,邪傳陽明,熱結胃腑,煩渴身熱，午後復加，煩燥熱盛，鼻如煙煤，舌變黑生刺。,溫疫－濕熱疫-煩渴身熱，午後復加，煩燥熱盛，鼻如煙煤，舌變黑生刺。,大承氣湯,PDF第22頁,
WB136,溫疫－暑燥疫,暑燥疫,熱毒充斥表裏,身大熱，頭痛如劈，兩目昏瞀，或狂躁譫妄，口乾咽痛，骨節煩疼，腰如被杖，或吐衄發斑，舌絳苔焦，或生芒刺，脈浮大而數或沈數，或六脈沈細而數。,溫疫－暑燥疫-身大熱，頭痛如劈，兩目昏瞀，或狂躁譫妄，口乾咽痛，骨節煩疼，腰如被杖，或吐衄發斑，舌絳苔焦，或生芒刺，脈浮大而數或沈數，或六脈沈細而數。,余氏清瘟敗毒飲,PDF第22頁,
WB137,溫疫－暑燥疫,暑燥疫,熱毒漫延臟腑,大熱大渴，口開吹氣，或絞腸痛絕，或頭腦脹痛欲死，或口噤不言，或渾身發臭難聞。或猝然仆地不省人事，雙目直視，脈亂，舌乾黑無苔，或紅裂，或黑苔起瓣，或舌有灰暈。,溫疫－暑燥疫-大熱大渴，口開吹氣，或絞腸痛絕，或頭腦脹痛欲死，或口噤不言，或渾身發臭難聞。或猝然仆地不省人事，雙目直視，脈亂，舌乾黑無苔，或紅裂，或黑苔起瓣，或舌有灰暈。,十全苦寒救補湯,PDF第22頁,
